tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_userid,in_reply_to_tweetid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions
"1193809614908862464","cwRjg3nOBDFVJA7i5r64223mY4CECaEbxBZsYhnhOjM=","cwRjg3nOBDFVJA7i5r64223mY4CECaEbxBZsYhnhOjM=","cwRjg3nOBDFVJA7i5r64223mY4CECaEbxBZsYhnhOjM=",,"A Pharmacist to be 💊  21, born in Nawa  🇸🇾",,3357,3308,"2019-11-06","en","ar","@shgluf هذا الحساب يثبت وجود مدرب عسكري تركي في جنوب طرابلس.وجد شخص ما هاتفه.تركيا تدمر بلدي وتستهدف الآن بلدكم.#انهم_شياطين_العصرhttps://t.co/4s3PA6rPo4","2019-11-11 08:36","Twitter Web App","828693359631953920","1.1938048951760036e+18","1.193182788297646e+18","False",,,"absent","absent",0,0,0,0,"['انهم_شياطين_العصر']","['https://twitter.com/x_m6y/status/1193182788297646081']","['828693359631953920']"
"1205050555246227458","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=",,"Your local Afrikan news junkie",,4763,4901,"2019-08-26","en","und","@dreadnstyn @brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","2019-12-12 09:03","Twitter Web App","115403297","1.2050496737209797e+18",,"False",,,"absent","absent",0,0,29,0,"[]","[]","['115403297', 'brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=']"
"1206552928816967680","cwRjg3nOBDFVJA7i5r64223mY4CECaEbxBZsYhnhOjM=","cwRjg3nOBDFVJA7i5r64223mY4CECaEbxBZsYhnhOjM=","cwRjg3nOBDFVJA7i5r64223mY4CECaEbxBZsYhnhOjM=",,"A Pharmacist to be 💊  21, born in Nawa  🇸🇾",,3357,3308,"2019-11-06","en","en","@Reuters Iraq also has something to say to the U.S., I guess","2019-12-16 12:33","Twitter Web App","1652541","1.2065517289146204e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['1652541']"
"1169888905094561792","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","Harare, Zimbabwe","I'm an aspiring blogger from Zimbabwe🇿🇼. Uncovering the beauty and true potential of my homeland🙏",,3141,1670,"2019-06-19","en","en","@jairroh They effect of the changes won't be seen right away, it'll work gradually.","2019-09-06 08:23","Twitter Web App","169079677","1.1698381065156895e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['169079677']"
"1206972762570547201","k67xbLRsLJyAVjTJOZI9QmmdPzOUCU1vWrg1ZFbRa8=","k67xbLRsLJyAVjTJOZI9QmmdPzOUCU1vWrg1ZFbRa8=","k67xbLRsLJyAVjTJOZI9QmmdPzOUCU1vWrg1ZFbRa8=",,"geek 🖥, memes addict, don't mind me.grammar is not my thing oopssyrian by blood, heart and mind 🇸🇾",,1548,1646,"2019-11-08","en","en","@almalkimo2004 today he was the beast ⚽️🇱🇾","2019-12-17 16:21","Twitter Web App","51354311","1.206971800497926e+18",,"False",,,"absent","absent",0,1,0,0,"[]","[]","['51354311']"
"1204693827233177607","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=",,"Your local Afrikan news junkie",,4763,4901,"2019-08-26","en","und","@iam_elmars @Beemkpe @brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","2019-12-11 09:26","Twitter Web App","985304116351176705","1.20468961252395e+18",,"False",,,"absent","absent",0,0,6,0,"[]","[]","['985304116351176705', '1180099829520834560', 'brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=']"
"1165943374936989696","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","r69kGNjtBCQOQc8nW3IJvAk3X9bDkldxiFev+MZNH4=","Harare, Zimbabwe","I'm an aspiring blogger from Zimbabwe🇿🇼. Uncovering the beauty and true potential of my homeland🙏",,3141,1670,"2019-06-19","en","en","@Hendinge Not sure if I got your question right.Are you hinting on the fact that plutonium isn't used in power plants now?","2019-08-26 11:05","Twitter Web App","224266800","1.1651238301107405e+18",,"False",,,"absent","absent",0,1,0,0,"[]","[]","['224266800']"
"1204392158519795721","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=","brqjyY8nPHk6NkzCZLiOvb2e3GuzLnwvO0eWWLJBC68=",,"Your local Afrikan news junkie",,4763,4901,"2019-08-26","en","en","@pjmillcarter3 @Damocles_Fr I think she won with her natural glowing beauty and nice personality... And her stunning smile of course 😉","2019-12-10 13:27","Twitter Web App","912951334403440640","1.204388125147046e+18",,"False",,,"absent","absent",0,1,6,0,"[]","[]","['912951334403440640', '816070651597488129']"
"1159763445094539264","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","L+dolgHlCcBt5BpjwcMQbn4yULFlp65BBv2+EXtWZE=","Khartoum","Sudanese | truth fighter | activist | #BlueForSudan Some exclusives",,1058,1544,"2019-06-17","en","en","@EricCheungwc How do foreigners react to this?","2019-08-09 09:48","Twitter Web App","1678851919","1.159757635341525e+18",,"False",,,"absent","absent",0,0,0,0,"[]","[]","['1678851919']"
"1206593578375536640","Uc1iIo5iOu1wFZlGe0GlzSIi7hyi8wPV8TCKNEQmus=","Uc1iIo5iOu1wFZlGe0GlzSIi7hyi8wPV8TCKNEQmus=","Uc1iIo5iOu1wFZlGe0GlzSIi7hyi8wPV8TCKNEQmus=","Paris","Si vous me demandez il est où ma maison, je vous réponds Pangui (Paris+Bangui) 🇨🇫 🇫🇷 Master Politique transnationale / Paris 8",,836,1035,"2019-11-18","fr","fr","Le motifs le non paiement des redevances relatives à l'utilisation de la fréquence 100.9 FM pour l'année 2019 et le refus de déférer aux multiples convocations du HCC, l'institution en charge de la régulation des médias en #RCA.","2019-12-16 15:15","Twitter Web App","Uc1iIo5iOu1wFZlGe0GlzSIi7hyi8wPV8TCKNEQmus=","1.2065935754269368e+18",,"False",,,"absent","absent",0,1,0,0,"['RCA']","[]","[]"
