"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions"
"460732821213298688","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @econetzimbabwe: #MondayInspiration ""Opportunity is missed by most people because it is dressed in overalls and looks like hard work"" ht…","2014-04-28 10:50","Twitter Web Client","","","","True","","4.60719053544235e+17","absent","absent","0","0","0","0","['MondayInspiration']","","['492852412']"
"426276964367089664","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @tarimaviyo: RT @CarlJoshuaNcube:When Zimbabwe dolarised Cuthbert Dube kept the ZEROS on his salary","2014-01-23 08:55","Twitter Web Client","","","","True","","4.262692786653307e+17","absent","absent","0","0","0","0","","","['53008279', '95680635']"
"420893654124097536","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @SoutherneyeZim: AAG lobbies govt for tax exemption - #SouthernEyeBusiness  
  http://t.co/YMsY1LIdpV","2014-01-08 12:24","Twitter Web Client","","","","True","","4.208931909257216e+17","absent","absent","0","0","0","0","['SouthernEyeBusiness']","['http://www.southerneye.co.zw/2014/01/08/aag-lobbies-govt-tax-exemption/']","['1466628318']"
"426264066446069760","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @SirNige: This is ABSOLUTELY ridiculous.Sadly nothing will happen to em RT @RussyAmplifaya: @263Chat #Twimbos http://t.co/FzWNtTbH8t #26…","2014-01-23 08:04","Twitter Web Client","","","","True","","4.262597519039775e+17","absent","absent","0","0","0","0","['Twimbos', '263Chat', 'twimbos']","","['37722041', '369435443', '892792496']"
"425507681940824064","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","sl","RT @BBCNews: Obituary: BBC presenter #KomlaDumor http://t.co/mYCw3pTF1y http://t.co/kt7MyWui1C","2014-01-21 05:58","Twitter Web Client","","","","True","","4.255050275168133e+17","absent","absent","0","0","0","0","['KomlaDumor']","['http://bbc.in/19JshTt']","['612473']"
"479739272376119298","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @lamanixolani: @ntlokom England http://t.co/HTUL8477qm","2014-06-19 21:35","Twitter Web Client","","","","True","","4.797271573554913e+17","absent","absent","0","0","0","0","[]","[]","['2462888212', '408577970']"
"478281265062612993","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @InfostradaLive: Good news for Honduras! The last 2 teams that France scored 3 goals against in a WC match, won the following WC: BRA 20…","2014-06-15 21:01","Mobile Web (M2)","","","","True","","4.782764306532925e+17","absent","absent","0","0","0","0","[]","[]","['745119640318205954']"
"427780890316775424","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @sphaberry: @DavidColtart  @CynicHarare Look at this ZRP officer. What's that hidden under your belt buckle, Officer? ---&gt; http://t.co/X…","2014-01-27 12:31","Twitter Web Client","","","","True","","4.277601544453612e+17","absent","absent","0","0","0","0","","","['188189738', '18060854', '424114751']"
"459786917316689921","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @allafrica: Breakthrough @Yale sequencing #tsetse genetic code could reduce/end #African sleeping sickness http://t.co/dFGEV1TIFv http:/…","2014-04-25 20:11","Twitter Web Client","","","","True","","4.5978552159031706e+17","absent","absent","0","0","0","0","['tsetse', 'African']","['http://allafrica.com/c/-5ABL1']","['16683014', '5695032']"
"444053051050328064","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","FDAiQiDNukYhjuXtuoj8oXCk9DaeuDk6dWKCID+Kscc=","","","","51","398","2013-07-01","en","en","RT @Wambete: #Science4Dev High mobility of Researchers should be encouraged to avoid inbreeding of Science Technology and Innovations","2014-03-13 10:11","Twitter Web Client","","","","True","","4.440485641390776e+17","absent","absent","0","0","0","0","['Science4Dev']","","['45827432']"
